date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-01,BA,Santa Brígida,city,975,21,True,14063,2927606,6933.08682,0.0215
2021-12-01,BA,Santa Cruz Cabrália,city,3144,35,True,27922,2927705,11259.9384,0.0111
2021-12-01,BA,Santa Cruz da Vitória,city,670,9,True,6278,2927804,10672.1886,0.0134
2021-12-01,BA,Santa Inês,city,690,12,True,10606,2927903,6505.75146,0.0174
2021-12-01,BA,Santaluz,city,3425,52,True,37531,2928000,9125.78935,0.0152
2021-12-01,BA,Santa Luzia,city,1183,32,True,12449,2928059,9502.77131,0.027
2021-12-01,BA,Santa Maria da Vitória,city,3366,63,True,39775,2928109,8462.60214,0.0187
2021-12-01,BA,Santana,city,647,44,True,26705,2928208,2422.76727,0.068
2021-12-01,BA,Santanópolis,city,713,12,True,8966,2928307,7952.26411,0.0168
2021-12-01,BA,Santa Rita de Cássia,city,2727,39,True,28481,2928406,9574.80426,0.0143
2021-12-01,BA,Santa Teresinha,city,663,11,True,10464,2928505,6336.00917,0.0166
2021-12-01,BA,Santo Amaro,city,3256,89,True,60131,2928604,5414.84426,0.0273
2021-12-01,BA,Santo Antônio de Jesus,city,13345,169,True,102380,2928703,13034.77242,0.0127
2021-12-01,BA,Santo Estêvão,city,4620,65,True,53269,2928802,8672.96176,0.0141
2021-12-01,BA,São Desidério,city,3436,50,True,34266,2928901,10027.43244,0.0146
2021-12-01,BA,São Domingos,city,1067,12,True,9072,2928950,11761.46384,0.0112
2021-12-01,BA,São Felipe,city,3428,31,True,21080,2929107,16261.85958,0.009
2021-12-01,BA,São Félix,city,1012,8,True,14762,2929008,6855.43964,0.0079
2021-12-01,BA,São Félix do Coribe,city,1131,28,True,15468,2929057,7311.86967,0.0248
2021-12-01,BA,São Francisco do Conde,city,3801,69,True,40245,2929206,9444.65151,0.0182
2021-12-01,BA,São Gabriel,city,1809,15,True,18789,2929255,9627.97381,0.0083
2021-12-01,BA,São Gonçalo dos Campos,city,2519,35,True,37942,2929305,6639.0807,0.0139
2021-12-01,BA,São José da Vitória,city,753,8,True,5608,2929354,13427.24679,0.0106
2021-12-01,BA,São José do Jacuípe,city,519,2,True,10505,2929370,4940.50452,0.0039
2021-12-01,BA,São Miguel das Matas,city,894,8,True,11704,2929404,7638.41422,0.0089
2021-12-01,BA,São Sebastião do Passé,city,3607,94,True,44430,2929503,8118.38848,0.0261
2021-12-01,BA,Sapeaçu,city,1925,24,True,17409,2929602,11057.49899,0.0125
2021-12-01,BA,Sátiro Dias,city,842,15,True,17302,2929701,4866.48942,0.0178
2021-12-01,BA,Saubara,city,643,19,True,12105,2929750,5311.85461,0.0295
2021-12-01,BA,Saúde,city,656,4,True,12943,2929800,5068.37673,0.0061
2021-12-01,BA,Seabra,city,6241,91,True,44234,2929909,14109.05638,0.0146
2021-12-01,BA,Sebastião Laranjeiras,city,497,9,True,11512,2930006,4317.23419,0.0181
2021-12-01,BA,Senhor do Bonfim,city,5254,87,True,79424,2930105,6615.12893,0.0166
2021-12-01,BA,Sento Sé,city,1220,47,True,40989,2930204,2976.4083,0.0385
2021-12-01,BA,Serra do Ramalho,city,879,32,True,31416,2930154,2797.93736,0.0364
2021-12-01,BA,Serra Dourada,city,562,17,True,17321,2930303,3244.61636,0.0302
2021-12-01,BA,Serra Preta,city,884,20,True,14699,2930402,6014.01456,0.0226
2021-12-01,BA,Serrinha,city,7798,102,True,81286,2930501,9593.2879,0.0131
2021-12-01,BA,Serrolândia,city,1138,13,True,13446,2930600,8463.48356,0.0114
2021-12-01,BA,Simões Filho,city,9501,238,True,135783,2930709,6997.19405,0.025
2021-12-01,BA,Sítio do Mato,city,231,10,True,13059,2930758,1768.89501,0.0433
